nama_tempat,deskripsi,kategori
Bunda Kuliner,Tempat makan yang menyajikan berbagai hidangan rumahan dengan cita rasa autentik.,Kuliner
TIARA WISATA KULINER,"Pusat kuliner di Tiara Convention Center, menawarkan beragam pilihan hidangan.",Kuliner
UCOK DURIAN MEDAN,"Pusat durian terkenal di Medan, menawarkan berbagai jenis durian lokal berkualitas.",Kuliner
Rumah Makan Family Haji Ramli,"Restoran keluarga dengan berbagai hidangan khas Indonesia, cocok untuk bersantap bersama.",Kuliner
Pasar Kuliner Kampung Melayu,Kawasan kuliner yang menyajikan hidangan khas Melayu dan makanan tradisional lainnya.,Kuliner
Mie Tiong Sim,"Kedai mie legendaris dengan resep khas Tionghoa, terkenal dengan rasa unik.",Kuliner
Kuliner tepi jalan pinggir sawah,"Tempat makan sederhana dengan pemandangan sawah, menawarkan suasana pedesaan yang tenang.",Kuliner
Lembur Kuring,Restoran yang menyajikan masakan Sunda dengan suasana tradisional dan nyaman.,Kuliner
RUMAH MAKAN MUSLIM GUNDALING,"Restoran Muslim di daerah Gundaling, menyajikan hidangan halal khas Indonesia.",Kuliner
Jabu Berastagi,Penginapan atau tempat makan dengan nuansa tradisional Batak di Berastagi.,Kuliner
Kuliner New Pasbar,Kawasan kuliner baru yang menawarkan berbagai hidangan kekinian dan tempat nongkrong.,Kuliner
